"순번","국가명","무역관명","무역관주소","공항무역관이동"
36.0,중국,항저우 무역관,"    - 주소: Room 3304, Wanyin International center, No.100 MinXin Road, Jianggan District, Hangzhou, Zhejiang Province, China (중문:  浙江省杭州市江幹區民心路 100號 萬銀國際大廈 2502室)    - 연락처: +86-571- 8110-3099    - 팩스: +86-571- 8110-3098    - 우편번호: 310020","  ㅇ 택시 이용    - 항저우 무역관은 항저우시 장간취에 위치하고 있으며, 공항과 기차역에서 무역관으로 오는 직행버스가 없으므로 택시를 이용해야 한다.    - 항저우샤오산국제공항(杭州蕭山國際机場)에서 항저우무역관까지 시간은 약 40분 소요되며 택시요금은 고속도로 요금을 포함하여 약 80위안이다.    - 항저우기차역(杭州火車站)에서 항저우 무역관까지 택시요금은 약 25위안이며 약 20분이 소요된다."
37.0,중국,톈진 무역관,"    - 주소: KOTRA Tianjin Room 2911, Modern International Finance Center, 136 Chifeng Road, Heping District, Tianjin, China(중뭉: 天津市和平区赤峰道136号天津国际金融中心29层11室)    - 연락처: +86-22- 2329-6631~3    - 팩스: +86-22- 2329-6634    - 우편번호: 300041","텐진 무역관은 톈진시 허핑취에 위치하고 있으며, 천진빈하이국제공항에서 차량으로 약 25분 거리에 위치해 있다(거리환산 19km)   ㅇ 택시 이용    - 톈진빈하이국제공항(天津滨海国际机场)에서 텐진 무역관까지 약 30분 정도 소요되며, 요금은 약 35위안이다.    - 톈진역(天津站)에서 텐진무역관 까지는 10분 소요되며, 기본요금 10위안이다.   ㅇ 공항 지하철 이용 - 공항 지하철을 이용 시 약 1시간 소요되며, 요금은 4위안이다.    - 공항에서 바로 탑승이 가능하여, 탑승 후 톈진역(天津站)에서 다시 3호선으로 환승하여 잉커우다오역(营口道站)하차한 후, A번 출구로부터 사무실까지 도보 4분. 하지만 시간이 대체로 오래 걸리므로 택시를 이용하는 것을 추천한다."
38.0,중국,선전 무역관,"    - 주소: Room 1205, North Tower, Shenzhen Energy Building, Jintian Road Binhe Avenue Intersection, Futian District, Shenzhen (중문: 深圳市福田區金田路濱河大道交叉口深圳能源大廈北塔1205室)    - 연락처: +86-755-8335-9991    - 팩스: +86-755-8335-9880    - 우편번호: 518048","공항에서 무역관으로 오는 직행버스가 없으므로 택시를 이용해야 한다.  ㅇ 택시 이용    - 공항에서 짐을 찾아 밖으로 나오면 택시 승차장 표시가 있는 곳에서 순서에 따라 택시에 탑승한다. 공항에서 선전 무역관까지 약 47분 소요되며 평균 요금은 99위안이다. 단, 택시요금과 별도로 고속도로 통행료, 5~10위안 정도가 추가될 수 있다. "
39.0,중국,하얼빈무역관,"    - 주소: Room 1806, Fuli Center Office Building, Daoli District, Harbin City, HeiLongJiang, China (중문: 哈爾濱市道里區富力中心寫字樓1806)    - 전화: +86-451-5110-7080    - 팩스: +86-451-5110-7081    - 우편번호: 150076","공항에서 무역관으로 오는 직행버스가 없으므로 택시를 이용하는 것이 편리하다.  ㅇ 택시 이용    - 하얼빈 타이핑국제공항(哈尔滨太平国际机场)에서 하얼빈무역관이 있는 푸리센터오피스(富力中心写字楼)까지 40분 정도 소요되며, 요금은 약 75~100위안이다.   ㅇ 공항리무진 이용    - Line1(민항빌딩행) 탑승 &rarr; 동달길(通達街) 버스 정류장(하차) &rarr; (보행) 중심병원(中心醫院) 버스 정류장 (56번, 道外七道街행) &rarr; 공로대교(公路大橋) 버스 정류장(하차) &rarr; (보행, 710m) 푸리센터      -	약 1시간 20분 소요되며 요금은 20위안이다.    - 1호선 운행시간:      * 공항 &rarr; 민항빌딩: 05:00~20:00      * 민항빌딩 &rarr; 공항: 05:00~21:00"
40.0,중국,창춘무역관 ,"    - 주소 : Room 1309-1310, 3518-B, people&#39;s street, Nanguan District, Changchun, Jilin (중문: 吉林省長春南關區人民大街3518-B號1309-1310室)    - 전화: +86-431-8051-9850     - 팩스: +86-431-8051-9851    - 우편번호: 130000","  ㅇ 택시 이용    - 창춘 서역에서 약 15km 떨어져 있으며 택시로 약 30분, 요금은 약 25위안이다.    - 창춘 롱지아 국제공항에서 45km 떨어져 있으며 택시로 약 50분, 요금은 약 90위안이다.  ㅇ 공항 리무진 이용    - 창춘룽쟈국제공항(长春龙嘉国际机场) 버스정거장에서 1호선 공항리무진을  탑승후 6개 정거장을 지나 충칭루(重庆路) 에서 하차한후 495m 걸으면 안화빌딩(安华大厦)이 나온다.    - 총 1시간 30분 소요되며 비용은 25위안이다."
41.0,파키스탄,카라치 무역관,"  ㅇ 주소: Office #1, 20th Floor, Sky Tower A, Dolmen City, HC-3, Block-4, Scheme-5, Clifton, Karachi, Pakistan  ㅇ 전화번호: +92-21-3530-3771~4   ㅇ 홈페이지: https://www.kotra.or.kr/subList/20000005998  ㅇ 이메일 : khi_ktc@kotra.or.kr",KOTRA 카라치 무역관은 상업 중심지 클리프턴(Clifton) 지역 SkyTower 빌딩에 위치하고 있다. 상세 위치는 구글맵을 활용해서 아래 주소로 검색하면 된다.  * https://goo.gl/maps/ktYbJ7favigEHNWj7진나국제공항(Jinnah International Airport)에서 약 20km 거리이며 차량으로 이동 시 40~50분 내외가 소요된다. 파키스탄의 경우 대중교통이 발달하여 있지 않아 외국인이 버스 등 대중교통 수단을 이용하기는 어렵다. 공항 및 호텔 등에서 외부로 이동할 때는 안전상 이유로 현지 택시보다 호텔 픽업 서비스 또는 사전 예약한 렌터카 사용을 권장한다. 운전 기사에게 돌멘몰(Dolmen Mall) 스카이타워(SkyTower)를 목적지로 이야기하고 하차 후 빌딩 20층을 방문하면 된다. 1층 안내데스크에서 신분증(여권)을 제시하고 visitor pass를 발급받아  입장하고 건물 퇴거 시 반납한다.  차량을 이용해 무역관을 방문할 경우 출입자 등록과 별개로 차량 출입 등록 및 주차공간 확보 절차가 필요하므로 무역관에 사전 안내하여 협조를 구해야 한다. 
42.0,핀란드,헬싱키 무역관,"  ㅇ 주소: Salomonkatu 17 A, 3rd Floor D, 00100 Helsinki, Finland  ㅇ 전화: +358 9 682 9490  ㅇ E-메일: helsinki@kotra.or.kr   ","  ㅇ 헬싱키-반타 공항에서 버스로 중앙역으로 이동 후 지하철 또는 도보로 이동 가능공항에서 600번 버스 또는 I&middot;P 라인 공항철도(4.1유로, 자판기 기준)을 이용하여 30~40분 후에 종점인 중앙역(Central Railway Station; Rautatientori)에 내린다. 중앙역에 있는 곳곳 빨간 표지판의 지하철 표시(M)를 따라 마틴퀼라(Matinkyla) 또는 타피올라(Tapiola)행 지하철을 타고 한 정거장 뒤인 깜삐(Kamppi)역에서 하차, 루네르베르긴카투 (Runerberginkatu) 방면 출구로 나오면 길 건너 맞은 편 큰 건물에 맥도날드가 있다. 헬싱키 무역관은 맥도날드가 있는 건물(AUTOTALO) 3층에 있다. ㅇ 헬싱키-반타 공항에서 택시로도 이동 가능공항에서 지정택시를 이용할 경우 회사별로 정액제 요금으로 무역관까지 이동할 수 있다. 공항의 택시승강장에는 택시회사별 요금이 표시되어 있다. Helsinki Taxi의 경우 공항 택시승강장 2번 레인에서 승차 후 기사에게 정액제로 계산한다고 하면 38.5유로(4명 이하)에 무역관이 있는 Autotalo까지 올 수 있다.   ㅇ 중앙역에서 도보로 이동하는 법중앙역에서 나온 뒤 Postikatu를 따라 큰 길(Mannerheimintie)를 건넌 후 좌측의 깜삐(Kamppi) 쇼핑센터를 따라 Salomonkatu를 약 500m를 직진하면, 트램길을 건너 우측에 있는 Autotalo(맥도날드 건물) 3층에 무역관이 있다."
43.0,브라질,상파울루 무역관,"  ㅇ 주소: Alameda Santos 700, 8th floor. Edificio Trianon Corporate - Cerqueira Cesar, Cep. 01418-100, Sao Paulo, SP, Brazil  ㅇ 전화번호: 55-11-3175-3030  ㅇ 이메일: saopaulo@kotra.com.br  ㅇ 홈페이지: https://www.kotra.or.kr/subList/20000005998/ovrssKbc/selectOvrssKbcDetail.do?deptCd=9418","  ㅇ Guarulhos 공항 -&gt; 무역관     -  버스: 시내로 가는 공항버스가 있으며 Paulista 거리 인근에 위치한 Rua Sao Carlos do Pinhal, 424, Bela Vista 앞에 하차한다. 호텔에서 무역관까지는 650m로 도보로 9분 거리이다.     - 택시: 공항 출구에 위치한 택시 승강장에서 하차 위치에 따른 요금을 지불하고 탑승 가능하다. 무역관까지 약 160헤알(32달러)이 소요된다.    - 기타: 공항 입국장에서 우버(uber) 택시 호출이 가능하다. 우버 이용시 공항에서 KOTRA 상파울루 무역관까지는 약 100~150헤알(20~30달러) 정도 소요된다.  ㅇ Congonhas 공항 -&gt; 무역관     - 택시 : 공항 출구에서 택시 탑승이 가능하며, 무역관까지 약 80헤알(16달러)이 소요된다.    - 기타 : 우버(uber) 택시 호출이 가능하며, 무역관까지 약 65(13달러)헤알이 소요된다.  ㅇ 무역관 건물 도착 후       - 로비 Security Desk에서 방문처(8층 KOTRA)를 밝히고 신분증을 제시하면 무역관에 유선으로 확인 후 출입증을 제공해 준다. 무역관의 확인을 위하여 방문 전 이메일 또는 유선으로 방문 일정을 사전에 협의하는 것이 좋다."
44.0,스웨덴,스톡홀름 무역관,"  ㅇ 주소 : Sv&auml;rdv&auml;gen 11C,  SE-182 33, Danderyd, Sweden  ㅇ 우편배송지 :       Korea Business Center (회사명)        Svardvagen 11C (Street Adress)       182 33 Danderyd (우편번호, City)       Sweden (국가)   ㅇ 전화번호 : (46-8) 30 8090  ㅇ 이메일 : sto_ktc@kotra.or.kr   ㅇ 홈페이지 : www.kotra.or.kr/KBC/stockholm ","스톡홀름 무역관은 스톡홀름 시 외곽 북쪽에 위치해 있으며, 알란다(Arlanda) 국제공항에서는 35km 떨어져 있다.  ㅇ 공항버스(Flygbussarna/ Airport Coaches) 이용 시-알란다 공항Arlanda(알란다) 공항에서 스톡홀름 시내(City Terminal)까지 공항버스(약 30분 소요)를 이용한다. 스톡홀름 시내 공항버스 터미널에서 스톡홀름 무역관까지는 택시로 약 30분 소요된다. 공항버스 운행시간(5:00~1:00) 15분마다 운행, 행선지가 3개로 나누어지므로 주의가 요망된다. 무역관으로 올 경우 Stockholm City 행 승차(가격 : 편도 149 SEK, 왕복 239 SEK/ 인터넷 사전 구매시 20% 할인 적용가격 )  ㅇ 알란다 익스프레스(Arlanda Express) 이용 시알란다 공항에서부터 스톡홀름 중앙역까지(평일 러시아워 시 5회/시간, 기타 매시 05, 20, 35, 50분 출발) 논스톱 운행되는 초고속 열차로서 편하고 빠르게 이용할 수 있으며 중앙역에서 지하철로 환승해야 한다(가격: 편도 340SEK, 왕복 640SEK, 소요시간 20분).  ㅇ 택시 이용 시알란다 공항 각 터미널에서 택시를 잡을 수 있으며, 요금은 택시회사에 따라 차이가 있으나 750SEK 내외의 고정요금이 적용된다.  ㅇ 지하철 이용 시지하철 적색선을 타고 시내 중앙역(T-centralen)에서 Morby Centrum 방향으로 와서 종착역인 Morby Centrum역에서 하차한다. 역에서 도보로 3분 거리에 있다."
45.0,파라과이,아순시온 무역관,"주소: Edificio Plaza Center Santa Teresa Piso 5 A, Avda. Aviadores del Chaco 2351 e/ Campos Cervera, Asuncion - Paraguay구글맵 : https://maps.app.goo.gl/iCwvFyEwqUChLigH8전화번호: +595 21 660 100이메일: kotraparaguay@kotra.or.kr / kotraparaguay@gmail.com홈페이지: www.kotra.or.kr/asuncion ","택시 이용 시       - 아순시온 공항에서 무역관까지 거리는 약 8km이며, 교통상황에 따라 20~40분 소요된다.     * 공항-아순시온 무역관 택시요금은 $10 - $20 사이이다.버스 이용 시    - 아순시온 공항에서 버스 이용 시 공항 밖 보도로 300미터 떨어진 곳에 버스 정류장이 있으며,  무역관까지 가는 버스는 루께(시)에서 아순시온(시) 방면으로 가는 30번 파란색이다.    - 요금은 버스 종류에 따라 2,700~ 3,500과라니 (0.34~0.53 USD)이며 교통카드로만 이용이 가능하다. (교통카드는 편의점에서 판매와 충전이 가능하다.)    - 공항에서 버스로 아순시온 무역관까지 이동시간은 40~50분 소요된다.    - 버스 운행 시간은 오전 5시~ 오후 8시까지이며, 버스 배차 간격은 20~30분이다.건물 도착 후    - 로비 Security Desk에서 방문처를 밝히고 신분증을 제시하면 출입증을 제공해 준다. 기타    - 무역관 방문 전 이메일 또는 유선으로 방문 일정을 사전에 협의하는 것이 좋다.  특히 객관적인 자료가 필요한 경우 사전에  자료 준비를 요청하면 효과적인 면담이 가능하다. "
46.0,콜롬비아,보고타 무역관,"  ㅇ 주소: Calle 113#7-21 torreA oficina 1201, Bogota, Colombia  ㅇ 전화번호: +57 1 637 5099 (한국어로 서비스가 필요한 경우 내선 번호 102, 104)  ㅇ 이메일: ktcbog@kotra.org.co  ㅇ 홈페이지: http://www.kotra.or.kr/KBC/bogota/KTMIUI010M.html   ㅇ 업무시간: 8:00~17:00       (한국에서 무역관으로 전화 시 &#39;한국 현 시간-14시간&#39;을 계산하면 콜롬비아 현지 시간을 알 수 있다.)","  ㅇ 엘도라도 공항 출발 시       - 버스: 엘도라도 공항 1층 5번 출구 앞에서 M86번 트란스밀레니오 탑승 후, Centro Comercial Santa Barbara 역에서 하차 후 길을 건너 삼성건물 옆에 있는 베이지색 건물로 이동     * 버스는 위험할 수 있으므로 가급적 택시 이용 권장    - 택시: 엘도라도 공항에서 무역관까지 약 20달러 정도이며 도로사정에 따라 40분에서 1시간 내외 소요   ㅇ 건물 도착 후      - 로비에서 방문처를 밝히고 신분증을 제시하면 무역관에 유선으로 확인 후 출입 가능하다. 무역관의 확인을 위하여 방문 전 이메일 또는 유선으로 방문 일정을 사전에 협의하는 것이 좋다."
47.0,아제르바이잔,바쿠 무역관,"  ㅇ 주소: 2nd floor, Landmark II, 45 A Khagani Street, Baku 1010  ㅇ 전화번호: +994-12-310-8672~74  ㅇ 이메일: office@kotra.az     - 영어 및 한국어 이메일 모두 상기 주소로 송부하면 되고, 담당자들이 확인 후 답장이 가능하다.   ㅇ 홈페이지: https://www.kotra.or.kr/baku/index.do   ㅇ 특이사항: 무역관 주소지로 우편, 소포 발송 시 아래 유의사항에 대한 확인이 필요하다.    - 물품 발송 시 KOTRA 명의 등 운송장 기재에 주의가 필요하고 무역관에 비용이 발생하는 사안이기에 사전 협의를 요망한다.    - 물품 박스에 KOTRA 명을 아래와 같이 기재해야 한다.       Commercial Section Embassy of the Republic of Korea in Azerbaijan(KOTRA), Baku, Azerbaijan    - 또한, 박스에 &quot;Not for sale&quot; 과  &quot;Samples&quot; 을 기재해야 한다.    - EMS가 통관 및 배달이 잘 되는 편이며, DHL 등 특사 우편은 공항 화물보관소에 직접 가서 찾는 경우가 대부분으로 시간 및 비용이 더 소요되는 상황이다.   ㅇ 참고사항 :  FEDEX, DHL, UPS 등 특사 우편뿐만 아니라 EMS도 이용 가능하다.",  ㅇ 버스    -  공항에는 시내로 가는 공항버스가 있으며 요금은 1.5마나트이다. 28 May 정류장 하차 후 바쿠 무역관이 소재한 건물(Landmark)까지 걸어가면 10분정도 소요된다.        ㅇ 택시    - 공항에서 무역관까지 현지인 기준 약 15~20마나트가 소요되며 타기 전에 가격을 흥정해야 한다. 그러나 외국인의 경우 현지인이 사용하는 가격보다 더 높게 요구하기도 한다.   ㅇ 건물 도착 후      - 무역관은 2층에 있으며 로비 좌측에 있는 엘리베이터를 이용해 도착할 수 있으나 출입건물의 보완 문제로 별도 출입증이 필요하다.
48.0,영국,런던 무역관,"ㅇ 주소: 1st Floor, Manfield House,  1 Southampton Street, London WC2R 0LRㅇ 전화번호: +44 020-7520-5300ㅇ 이메일: kotra@kotra.co.uk","ㅇ 무역관 인근 지하철역  1) 차링크로스(Charing Cross)역 &ndash; Bakerloo/Northern 라인, 도보 6분  2) 앰뱅크먼트(Embankment)역 &ndash; Bakerloo/Circle/District 라인, 도보 7분  3) 템플(Temple)역 &ndash; Circle/District 라인, 도보 10분  4) 코벤트가든(Covent Garden)역 &ndash; Picadilly 라인, 도보 5분  5) 레스터스퀘어(Leicester Square)역 - Picadilly/Northern 라인, 도보 7분  6) 홀본(Holborn)역 &ndash; Central/Picadilly 라인, 도보 13분  7) 워털루(Waterloo)역 &ndash; Bakerloo/Jubilee/Northern/Waterloo &amp; City 라인, 도보 17분  8) 토튼햄코트로드(Tottenham Court Road)역 &ndash; Central/Elizabeth/Northern 라인, 도보 14분ㅇ 히드로 공항에서 무역관 이동 방법  1) 히드로 익스프레스(Heathrow Express) 이용    - 히드로 공항에서 런던 시내 패딩턴(Paddington)역까지 운행하는 급행열차로 15~20분 정도 소요     - 패딩턴역에서 지하철(Underground) Bakerloo 라인으로 환승, 차링크로스(Charing Cross) 역에서 하차    - 요금: 히드로 익스프레스 편도 25~32파운드, 왕복 37~55 파운드(히드로 공항 &harr; 패딩턴역)지하철 편도 2.8파운드/현금 6.70파운드(패딩턴역 &harr; 차링크로스역)  2) 지하철(Underground) 이용    - 히드로 공항을 경유하는 지하철(Underground) 노선은 Piccadilly 라인이며, 히드로 공항에는 총 3개의 정차역이 있음       * 항공기 도착 터미널에 따라 이용가능 역이 Heathrow Terminals 2 &amp; 3역, Heathrow Terminal 4역, 그리고 Heathrow Terminal 5역으로 나뉨    - Picadilly 라인 노선에 있는 무역관 인근 지하철역인 코벤트가든(Covent garden)역에서 하차 시 도보 5분 소요    - 요금: 편도 5.6파운드/현금 6.70파운드(히드로 공항 &harr; 코벤트가든역 기준)   - 소요시간: 약 60-70분   3) 엘리자베스 라인(Elizabeth Line) 기차 이용   - 공항에서 &lsquo;Train to London&rsquo; 이정표를 확인 후 플랫폼으로 이동, 엘리자베스 라인 이용하여 토튼햄코트로드(Tottenham Court Road)역에서 하차 시 무역까지 도보로 14분 소요       * 토튼햄코트로드역에서 Northern 라인으로 환승하여 엠뱅크먼트(Embankment)역 하차 시 무역관까지 도보 6분 소요   - 요금: 편도 13.3파운드(히드로 공항 &harr; 토튼햄코트로드역 기준)   - 소요시간: 약 55-65분   4) 택시(블랙캡, Black cab)   - 출국장 게이트로 나오면 표지판을 통해 택시 정류장을 쉽게 찾을 수 있으며, 운전사에게 무역관 주소를 보여주면 됨    - 요금: 약 85~100파운드 정도로, 탑승자 수, 수하물 개수, 심야시간대 할증 등에 따라 요금이 추가될 수 있음   - 소요 시간: 약 50분(교통상황에 따라 상이) ㅇ 미니캡(Mini cab)   - 런던에서 미니캡을 운영하는 택시 회사를 찾아 온라인 혹은 전화로 예약하면 고정된 가격으로 이용할 수 있음   - 공항에 도착 시 입국장에서 운전기사를 만나거나 공항 밖 차량 대기 장소(drop-off)에서 만날 수 있음 ㅇ 우버(Uber), 볼트(Bolt)   - 우버/볼트 앱을 사용하면 택시보다 저렴한 가격으로 이용이 가능   - 공항 내에 공유 차량 주차장이 별도로 설치되어 있으며, 보통 주차장 내 Short stay car park 구역에 픽업을 위해 잠시 정차 가능건물 도착 후 로비 Security Desk에서 방문처를 밝히고 신분증을 제시하면 무역관에 유선으로 확인 후 출입 허용"
49.0,페루,리마 무역관,"  ㅇ 주소: Av. Victor Andres Belaunde 147 Centro Empresarial Real 5 1301, San Isidro, Lima, Peru (15073)  ㅇ Google 주소 링크 : https://maps.app.goo.gl/bqDf3FgRj7bqA2oQ9  ㅇ 전화: +51 1 442 9595  ㅇ E-mail : reception.kotralima@gmail.com","ㅇ 택시   - 리마 호르헤 차베스 국제공항에 도착하면 출구 Gate로 나가기 전, 공항 내부에 있는 택시회사(Taxi Green, Taxi 365, Taxi Directo, CMV Taxi, Trip)를 이용하거나 UBER, CABIFY 등 택시 어플리케이션 설치 후 이동하는 것을 추천한다. 출퇴근 시간 및 야간시간에는 요금이 다소 추가될 수 있으나 보통 45~60솔 내외(약 14~15달러)로 이용이 가능하다. 이외 정식으로 등록되지 않은 과도한 호객행위를 하는 택시는 피하는 것이 좋다. 페루 주요 일간지 엘 코메르시오(El Comercio)에 따르면, 리마 국제공항내 택시 기사 중 25%가 각종 범죄 혐의로 경찰 수사를 받은 전력이 있는 것으로 확인되었다. 정식 등록된 택시만을 이용하고, 탑승 전 번호판과 택시 회사 등을 확인하고 탑승한다. 택시기사와 불필요한 언쟁 및 과도한 정보 공유를 자제하는 것이 좋다.   - 무역관은 Centro Empresarial Real이라는 비즈니스 빌딩 단지 내에 위치하고 있으며, 외벽에 &quot;5&quot;가 표시되어 있는 건물이다. 리셉션에서 출입을 통제하므로, 사전에 무역관에 방문 사실을 알리는 것이 좋으며, 도착 후 1층 리셉션에서 신분증을 맡기고 건물 출입증을 발급받아 13층으로 올라오면 된다. ㅇ 공항버스(https://www.airportexpresslima.com/)과거에는 무역관 소재지인 San Isidro 지역으로 운행하는 노선이 있었으나, 2024년 4월 현재 공항버스는 Miraflores행 1개 노선만 운행하고 있어, 무역관 방문시 공항버스를 이용할 수 없다."
50.0,쿠웨이트,쿠웨이트 무역관,"  ㅇ 주소: JASE Tower, 5th Floor, Arabian Gulf Rd., Block 2, Sharq, Kuwait City  ㅇ 전화번호: +965-2243-6933  ㅇ 홈페이지: www.kotra.or.kr/kuwait","  ㅇ 공항에서 쿠웨이트 무역관으로 오시는 방법    - 렌터카, 호텔 픽업 등 사전 준비된 교통편이 없을 경우 공항 출구 앞에 대기하고 있는 공항 택시 이용    - 공항에서 무역관으로 이동 시, 약 25분 내외가 소요되며 현지화 7~8KD 요금이 부과된다.(공항택시는 미터기가 아닌 도착지역으로 요금을 계산한다.(1KD = 약 3.3USD)).    - 택시 탑승 후, 목적지를 Opposite Souk Sharq으로 언급하는 것이 길찾기에 용이하다.(최종 목적지 건물명은 JASE Tower임).      - 공항 택시의 경우 현금 결제만 가능하므로 공항에서 미리 소액의 쿠웨이트 디나르 환전이 필요하다.   ㅇ 참고    - 택시기사들은 대부분 인근 아랍국가(이집트 등), 인도, 파키스탄 출신으로 영어로 의사소통이 가능하나 가끔 영어가 서툰 경우가 있으니 택시기사에게 무역관 주소 또는 구글맵을 보여주는 것이 확실하다.    - 사무실 건물 건너편으로는 쇼핑몰인 Souk Sharq와 요트 선착장이 있으며 옆쪽으로는 선박 박물관(Maritime Museum)이 있다."
51.0,카타르,도하 무역관,"  ㅇ 무역관 주소 및 우편배송지: 20th Floor, Palm Tower B, West Bay, P.O.Box 24860, Doha, Qatar  ㅇ 전화번호: +974 4016 2603  ㅇ 팩스번호: +974 4016 2602   ㅇ 이메일: mail@kbcdoha.com.qa  ㅇ 근무시간: 일요일~목요일, 8:00~17:00 (한국 기준 14:00~23:00)  ","  ㅇ 일반 택시     - 공항 내 Karwa 택시를 이용해 West Bay에 있는 팜타워(Palm Tower B)로 이동하면 약 20~25분가량 소요(교통상황에 따라 상이)    - 기본요금은 공항 출발 시 25 리얄(약 6.9달러)부터 적용, 무역관까지는 교통상황에 따라 상이하나 55 리얄(약 15달러) 내외 적용    - 택시 기사가 Palm Tower를 모를 경우, 토네이도 타워(Tornado Tower) 맞은 편에 있는 건물이라고 설명하거나, 구글맵(Google Maps)에 KOTRA Doha 또는 Korea Business Center Doha 검색  ㅇ 우버(Uber)    - 스마트폰의 Play Store 또는 App Store에서 &#39;Uber Qatar&#39;를 검색해 우버 앱 다운로드     - 앱 다운로드 후 본인의 휴대폰 번호를 입력해 사용자 정보 등록 후 이용    - 기본요금 8 리얄(약 2.2달러)부터 시작하며, 공항에서 무역관까지 이동 시 이용 요금은 약 40 리얄(약 11달러). 일반 택시와 유사하게 20~25분 가량 소요         ㅇ 지하철(Metro)     - 하마드국제공항(HIA) 지하철역에서 도하 메트로 레드라인을 탑승해 도하전시컨벤션센터(Doha Exhibition and Convention Center, DECC)역으로 이동      - DECC역에서 구글맵으로 Palm Tower B를 검색하여 도보(약 7~10분)로 이동하거나, 역에서 하차 후 메트로익스프레스(Metro Express)* 무료 이용 가능     * Metro Express 앱 다운로드 후 우버(Uber) 처럼 픽업 위치 및 드롭 장소 선택  "
52.0,이스라엘,텔아비브 무역관,"  ㅇ 주소: 11 Galgalei Haplada, Druyanov Business Center Entrance 3, 2Fl, Herzliya Pituach 4672211  ㅇ 전화번호: 972-9-763-6341(팩스 972-9-763-6338)  ㅇ 이메일: jungle@kotra.or.kr  ㅇ 홈페이지: www.kotra.or.kr/KBC/telaviv비상연락망: 최정림 과장 jungle@kotra.or.kr /jungle.kotra@gmail.com (972-50-723-2754)               ","  ㅇ 공항 출발 시       - 기차: 공항역(제3터미널)에서 탑승하여 헤르쯜리아(Hertzliya) 기차역에서 하차 후, 무역관까지 도보로 이동(1.2km, 약 15분 소요)한다. 총 소요시간은 55분이며, 편도요금은 8 셰켈(2.5 달러 상당)이다. 헤르쯜리야 기차역에서 택시나 버스(13번)를 이용하여 무역 관까지 이동하는 경우, 약 5분 정도 소요되며 버스 편도 요금은 6 셰켈 (2달러 상당), 택시 편도요금은 30 셰켈(9달러 상당) 정도이다.     - 택시이용: 제3터미널 24번 출입구(G층)에 위치한 택시 승강장에서 택시를 탑승하면, 무역관 도착까지 30~40분이 소요된다. 편도요금은 200~250셰켈(55~70 달러 상당)이다.    ㅇ 건물 도착 후      - 3번 출입구에서 엘리베이터를 타고 2층에서 내린다. 엘리베이터에서 내린 후 오른쪽 편에 무역관 위치를 안내하는 게시판이 있다. 무역관을 방문할 경우 사전에 이메일 또는 유선으로 방문일정을 협의한 뒤에 방문하는 것이 좋다."
53.0,네덜란드,암스테르담 무역관,"  ㅇ 주소: WTC Amsterdam, Tower 7, 12F, Strawinskylaan 1253, 1077XX, Amsterdam, The Netherlands   ㅇ 전화번호: +31 (0)20 673 05 55 / +31 (0) 20 754 6193  ㅇ 이메일: info@koreatradecenter.nl   ㅇ 홈페이지: https://www.koreatradecenter.nl/","KOTRA 암스테르담 무역관은 네덜란드 비즈니스의 중심인 World Trade Center에 위치하고 있다. 스키폴(Schiphol) 공항에서 무역관까지는 약 17.7km 정도 떨어져 있으며, 자동차를 이용할 경우 약 20~25분이 소요된다. 공항 입국장 출구에서 공항택시 탑승 후 World Trade Center까지 이동하여  타워 7의 12층으로 오면 무역관을 찾을 수 있다. 공항에서 KOTRA 암스테르담 무역관까지 택시를 이용할 경우, 요금은 약40~45유로이며 20~25분가량 소요된다.  우버(Uber)를 호출할 경우에는 30~35유로로 일반 택시보다 저렴하게 이용할 수 있다. 기차를 이용하는 경우, 스키폴(Schiphol) 공항의 지하에 위치한 기차역에서 WTC(Amsterdam-Zuid역) 사인이 있는 플랫폼에서 기차에 탑승하여 한 정거장 이동 후 하차하면 WTC에 도착할 수 있다. 다만, Amsterdam Centraal행 기차를 타면 WTC에 정차하지 않으니 주의해야 한다."
54.0,싱가포르,싱가포르 무역관,"  ㅇ 주소: Suntec Tower One, 7 Temasek Boulevard #13-02 , SINGAPORE 038987   ㅇ 전화: (65) 6426-7200   ㅇ 팩스: (65) 6223-5850  ㅇ 이메일: info@kotra.sg","  ㅇ 위치싱가포르 무역관은 싱가포르 금융 및 비즈니스 중심지인 Suntec City에 위치해 있으며, 창이공항에서 무역관까지는 자동차로 약 30분 정도 소요된다.      ㅇ 이동방법택시 이용이 가장 편리한 방법이며 택시요금은 최소 27 싱가포르달러(약 2만 7천원) 정도다. 지하철 이용 시(이용요금 약 3싱가포르달러) 약 40~50분이 소요된다. 지하철 노선 안내 1) East West Line(green line)을 통해 Paya Lebar역에서 Circle Line(yellow line)으로 환승, Promenade 역에서 하차 후 C 출구                                 2) Downtown Line(Blue Line)을 통해 MacPherson역에서 Circle Line(yellow line)으로 환승, Promenade 역에서 하차 후 C 출구, Suntec Tower One까지 도보 5분 정도 소요된다. "
